url,title,location,house_type,bathrooms,bedrooms,properties,amenities,price
https://jiji.com.gh/lake-side-estate/houses-apartments-for-rent/1bdrm-apartment-in-lakeside-estate-for-rent-zCdb93KQQXfsMr7epJh1oVrO.html,1bdrm Apartment in Lakeside Estate for rent,"Greater Accra, Ashaley Botwe, Lake Side Estate, 1 hour ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'New Legon Abu Down', 'Estate Name': 'Lakeside Estate', 'Property Size': '45', 'Condition': 'Fairly Used', 'Furnishing': 'Unfurnished', 'Toilets': '1'}","24-hour Electricity,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor","GH₵ 1,000"
https://jiji.com.gh/dodowa/houses-apartments-for-rent/1bdrm-room-parlour-in-ages-properties-dodowa-for-rent-u4EfTagXHIwdn2bktGVmmyrn.html,"1bdrm Room & Parlour in Ages Properties, Dodowa for rent","Greater Accra, Dodowa, 1 hour ago",Room & Parlour,1 bathroom,1 bedroom,"{'Property Address': 'Sasaabi off Adenta-Dodowa road', 'Estate Name': 'Ages properties', 'Property Size': '189', 'Condition': 'Fairly Used', 'Furnishing': 'Unfurnished', 'Toilets': '1'}",Dishwasher,GH₵ 600
https://jiji.com.gh/accra-metropolitan/houses-apartments-for-rent/2bdrm-apartment-in-bestchoice-property-accra-metropolitan-for-rent-8X0gUxA64de2qj2ds9rHfdVN.html,"2bdrm Apartment in Bestchoice Property, Accra Metropolitan for rent","Greater Accra, Accra Metropolitan, 22 min ago",Apartment,2 bathrooms,2 bedrooms,"{'Property Address': 'Achimota', 'Estate Name': 'Bestchoice property', 'Property Size': '14', 'Condition': 'Newly-Built', 'Furnishing': 'Unfurnished', 'Toilets': '2', 'Agency Fee': '200', 'Caution Fee': '200', 'Minimum Rental Period': '1 Month'}","24-hour Electricity,Balcony,Dining Area,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor","GH₵ 4,000"
https://jiji.com.gh/new-legon/houses-apartments-for-rent/3bdrm-house-in-adenta-new-legon-for-rent-yB2dQUgMUmR6lRABJLBBuFe7.html,3bdrm House in Adenta New Legon for rent,"Greater Accra, Adenta, New Legon, 32 min ago",House,3 bathrooms,3 bedrooms,"{'Property Address': 'ADENTA NEW LEGON ROOF TOP', 'Estate Name': 'ADENTA NEW LEGON', 'Property Size': '1000', 'Self Contained': 'Yes', 'Subtype': 'Detached', 'Condition': 'Newly-Built', 'Furnishing': 'Semi-Furnished', 'Toilets': '3', 'Minimum Rental Period': '12 Month'}","24-hour Electricity,Air Conditioning,Balcony,Dining Area,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Wi-Fi","GH₵ 3,500"
https://jiji.com.gh/labadi/houses-apartments-for-rent/1bdrm-apartment-in-mr-akrong-labadi-for-rent-7omRCdkfk3T3e7AldKigIFTg.html,"1bdrm Apartment in Mr Akrong, Labadi for rent","Greater Accra, Labadi, 1 hour ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'G55/5 Asafoatse Bu st', 'Estate Name': 'Mr Akrong', 'Property Size': '100', 'Self Contained': 'Yes', 'Condition': 'Newly-Built', 'Furnishing': 'Unfurnished', 'Toilets': '1', 'Caution Fee': '3000', 'Minimum Rental Period': '12 Month'}","Chandelier,Air Conditioning,24-hour Electricity,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wi-Fi","GH₵ 2,700"
https://jiji.com.gh/madina/houses-apartments-for-rent/1bdrm-apartment-in-taxi-rank-madina-for-rent-cPNEBWv4SY6RXQrGK6omvlff.html,"1bdrm Apartment in Taxi Rank, Madina for rent","Greater Accra, Madina, 56 min ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'Taxi Rank', 'Estate Name': 'Taxi Rank', 'Property Size': '12', 'Condition': 'Fairly Used', 'Furnishing': 'Unfurnished', 'Toilets': '1', 'Minimum Rental Period': '12 Month'}","24-hour Electricity,Pre-Paid Meter,Tiled Floor",GH₵ 500
https://jiji.com.gh/adjiriganor/houses-apartments-for-rent/4bdrm-house-in-adjiriganor-for-rent-6E3Wfy95JEecoCMe7o06MEvu.html,4bdrm House in Adjiriganor for rent,"Greater Accra, Adjiriganor, 1 hour ago",House,4 bathrooms,4 bedrooms,"{'Property Address': 'Adjirigarnor', 'Property Size': '100', 'Condition': 'Newly-Built', 'Furnishing': 'Unfurnished'}","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe","GH₵ 27,000"
https://jiji.com.gh/kasoa/houses-apartments-for-rent/1bdrm-apartment-in-kasoa-new-market-for-rent-1gO1xi5HUtB0KbXd2eoDW0WM.html,1bdrm Apartment in Kasoa New Market for rent,"Greater Accra, Kasoa, 22 min ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'Kasoa', 'Estate Name': 'Kasoa New Market road', 'Property Size': '350', 'Self Contained': 'Yes', 'Condition': 'Fairly Used', 'Furnishing': 'Semi-Furnished', 'Toilets': '1', 'Minimum Rental Period': '12 Month'}","24-hour Electricity,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",GH₵ 500
https://jiji.com.gh/madina/houses-apartments-for-rent/1bdrm-apartment-in-gracious-properties-madina-for-rent-qaWmSIjgpJOAJV82WH8mA4rP.html,"1bdrm Apartment in Gracious Properties, Madina for rent","Greater Accra, Madina, 1 hour ago",Apartment,1 bathroom,1 bedroom,"{'Property Address': 'Warefare', 'Estate Name': 'Gracious Properties', 'Property Size': '200', 'Self Contained': 'Yes', 'Condition': 'Old', 'Furnishing': 'Unfurnished', 'Toilets': '1', 'Minimum Rental Period': '12 Month'}","24-hour Electricity,Kitchen Cabinets,Pop Ceiling,Pre-Paid Meter,Tiled Floor","GH₵ 1,700"
https://jiji.com.gh/ridge/houses-apartments-for-rent/furnished-3bdrm-apartment-in-ridge-for-rent-ttDUct22Gg9a9e33dn90jnfS.html,Furnished 3bdrm Apartment in Ridge for rent,"Greater Accra, Ridge, 1 hour ago",Apartment,3 bathrooms,3 bedrooms,"{'Property Address': 'Ringway', 'Property Size': '100', 'Condition': 'Newly-Built', 'Furnishing': 'Furnished'}","24-hour Electricity,Air Conditioning,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Microwave,Pop Ceiling,Pre-Paid Meter,Refrigerator,Tiled Floor,TV,Wardrobe,Wi-Fi","GH₵ 60,000"
